dataset,folder_url,source_file,member_file,kind,path,types,occurrences,position,read_status,example
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraints.constraintEquations[].rightHandSide,array,1848,,plateau,
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraints.constraintEquations[].rightHandSideScript,string,1847,,plateau,"def RHS(terms):
    return (
        +0.9500 * terms['RO.LIN"
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraints.constraintEquations[].rightHandSide[],object,31244,,plateau,
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraints.constraintEquations[].rightHandSide[].coefficient,number,31243,,plateau,0.95
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraints.constraintEquations[].rightHandSide[].index,number,31243,,plateau,0
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraints.constraintEquations[].rightHandSide[].term,string,31244,,plateau,RO.LINE.RO_WAI_81.AMP.RATING.NORM
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraints.constraintEquations[].rightHandSide[].termType,string,31243,,plateau,SCADA
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraints.constraintEquations[].systemConfiguration,string,1847,,plateau,NIL
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraints.constraintEquations[].version,number,1847,,plateau,16
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraints.constraintEquations[].violationPenalty,number,1847,,plateau,30.0
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraints.constraintSet,array,7,,plateau,
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraints.constraintSet[],object,70,,plateau,
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraints.constraintSet[].comments,string,70,,plateau,Update message: Rebuilt NIL Set to incorporate new facilitie
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraints.constraintSet[].constraintEquations,array,70,,plateau,
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraints.constraintSet[].constraintEquations[],string,1883,,plateau,NIL > {KW-CC-MED 81} [RO-WAI 81 (RO~)]
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraints.constraintSet[].description,string,70,,plateau,System Normal (always have invoked).
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraints.constraintSet[].id,string,70,,plateau,NIL
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraints.constraintSet[].version,number,70,,plateau,143
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].dfcmData,object,6,,plateau,
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].dfcmData.dfcmId,string,6,,plateau,0018
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].dfcmData.dfcmSchemaVersion,string,6,,plateau,2.1
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].dfcmData.dfcmValidationDetails,object,6,,plateau,
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].dfcmData.dfcmValidationDetails.dpvMaximum,number,6,,plateau,3010.0
